"","name","country_parent","total","dems","repubs","year"
"90","Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$402,722","$106,122","$296,600",2016
"91","First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$13,600","$13,600","$0",2016
"92","Fresenius Medical Care North America","Germany/Fresenius Medical Care","$178,500","$83,000","$95,500",2016
"93","G4S Secure Solutions","UK/G4S plc","$17,700","$7,700","$10,000",2016
"94","Gavilon (Marubeni Corp)","Japan/Marubeni Corp","$28,000","$3,500","$24,500",2016
"95","GE Appliances","China/Haier Group","$0","$0","$0",2016
"96","Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$383,500","$171,000","$212,500",2016
"97","General Cigar Co","Sweden/Scandinavian Tobacco Group","$16,000","$1,000","$15,000",2016
"98","Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$31,500","$16,500","$15,000",2016
"99","GKN Corp","UK/GKN PLC","$9,500","$5,500","$4,000",2016
"100","Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$850","$0","$850",2016
"101","GlaxoSmithKline","UK/GlaxoSmithKline","$431,000","$181,000","$250,000",2016
"102","Glover Park Group (WPP Group)","UK/WPP Group","$128,750","$82,000","$46,750",2016
"103","Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$44,000","$13,250","$30,750",2016
"104","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$8,000","$6,000","$2,000",2016
"105","Greyhound Lines","UK/FirstGroup PLC","$14,000","$2,500","$11,500",2016
"106","Heineken USA","Netherlands/L'Arche Green NV","$50,000","$27,500","$22,500",2016
"107","Herbalife International","UK/Herbalife Ltd","$60,100","$30,500","$29,600",2016
"108","Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$12,500","$4,000","$8,500",2016
"109","Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$74,750","$19,500","$55,250",2016
"110","Horizon Pharma USA","Ireland/Horizon Pharma PLC","$17,200","$6,400","$10,800",2016
"111","HSBC North America","UK/HSBC Holdings","$254,500","$98,000","$156,500",2016
"112","ICAP North America","UK/TP ICAP plc plc","$22,500","$5,000","$17,500",2016
"113","Infineon Technologies","Germany/Infineon Technologies AG","$1,500","$500","$1,000",2016
"114","Ingersoll-Rand","Ireland/Ingersoll Rand Co","$34,500","$6,000","$28,500",2016
"115","Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$73,000","$25,500","$47,500",2016
"116","Intergraph Corp","Sweden/Hexagon AB","$0","$0","$0",2016
"117","International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy/B&D Holding Di Marco Drago e C Sapa","$15,000","$8,000","$7,000",2016
"118","International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy/B&D Holding Di Marco Drago e C Sapa","$78,450","$30,500","$47,950",2016
"119","ITG Brands (Imperial Brands)","UK/Imperial Brands","$107,500","$16,000","$91,500",2016
"120","Jackson National Life Insurance","UK/Prudential PLC","$196,500","$42,500","$154,000",2016
"121","JBS USA","Brazil/JBS SA","$68,500","$7,000","$61,500",2016
"122","Jeld-Wen Inc (Onex Corp)","Canada/Onex Corp","$2,600","$0","$2,600",2016
"123","John Hancock Life Insurance","Canada/Manulife Financial","$97,000","$52,000","$45,000",2016
"124","Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$343,500","$100,750","$242,750",2016
"125","Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$21,500","$10,500","$11,000",2016
"126","Kawasaki Heavy Industries","Japan/Kawasaki Heavy Industries","$0","$0","$0",2016
"127","Keystone Foods","Brazil/Marfrig Global Foods","$0","$0","$0",2016
"128","LafargeHolcim (LafargeHolcim)","France/Lafarge SA","$11,000","$2,500","$8,500",2016
"129","Lehigh Hanson","Germany/HeidelbergCement AG","$125,500","$12,000","$113,500",2016
"130","Leonardo DRS","Italy/Leonardo-Finmeccanica","$233,000","$70,500","$162,500",2016
"131","Linde North America","Germany/Linde AG","$54,000","$19,500","$34,500",2016
"132","Livanova Inc","UK/Livanova plc","$11,000","$2,000","$9,000",2016
"133","Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$37,400","$6,000","$31,400",2016
"134","Lundbeck Inc","Denmark/H Lundbeck A/S","$51,000","$17,500","$33,500",2016
"135","LyondellBasell Industries","Netherlands/LyondellBasell Industries","$117,500","$29,500","$88,000",2016
"136","M-E Companies","Canada/IBI Group","$0","$0","$0",2016
"137","Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$61,500","$20,000","$41,500",2016
"138","Magna US","Canada/Magna International","$2,000","$2,000","$0",2016
"139","Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$101,500","$24,000","$77,500",2016
"140","Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$24,500","$5,500","$19,000",2016
"141","Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$22,500","$8,000","$14,500",2016
"142","MBDA Inc","UK/MBDA","$9,500","$0","$9,500",2016
"143","Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$0","$0","$0",2016
"144","Medtronic Inc (Medtronic Inc)","Ireland/Medtronic Plc","$366,500","$161,500","$205,000",2016
"145","MillerCoors LLC (Molson Coors Brewing)","Canada/Molson Coors Brewing","$166,500","$59,500","$107,000",2016
"146","Miraca Life Sciences","Japan/Miraca Holdings","$13,500","$5,000","$8,500",2016
"147","Mitsubishi Hitachi Power Systems","Japan/Mitsubishi Hitachi Power Systems","$14,900","$0","$14,900",2016
"148","Morpho Detection (Safran SA)","France/Safran SA","$14,500","$5,500","$9,000",2016
"149","MorphoTrust USA (Safran SA)","France/Safran SA","$30,689","$6,689","$24,000",2016
"150","MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$9,500","$6,000","$3,500",2016
"151","Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0",2016
"152","Mylan Inc","Netherlands/Mylan NV","$68,000","$23,000","$45,000",2016
"153","Nammo Talley Inc","Norway/Nammo AS","$9,250","$4,250","$5,000",2016
"154","National Cement Co","France/Vicat Group","$5,400","$0","$5,400",2016
"155","National Grid USA (National Grid plc)","UK/National Grid plc","$75,500","$50,500","$25,000",2016
"156","Natixis Global Asset Management","France/Groupe BPCE","$14,500","$4,500","$10,000",2016
"157","Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$26,000","$5,000","$21,000",2016
"158","Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$22,746","$10,246","$11,500",2016
"159","Nokia Solutions & Networks (Nokia Inc)","Finland/Nokia","$34,200","$9,500","$24,700",2016
"160","Nomura Holding America","Japan/Nomura Holdings","$108,500","$43,500","$65,000",2016
"161","Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$272,750","$137,500","$135,250",2016
"162","Novo Nordisk","Denmark/Novo Nordisk A/S","$458,351","$194,852","$262,499",2016
"163","Novocure Inc","UK/Novocure","$29,600","$0","$29,600",2016
"164","Oldcastle Materials","Ireland/CRH PLC","$352,230","$130,280","$221,950",2016
