"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Ito-Yokado","$750","$0","$750",2004
"2","ABB Group","Switzerland/Asea Brown Boveri","$16,500","$6,500","$10,000",2004
"3","Accenture","UK/Accenture plc","$197,071","$54,124","$142,947",2004
"4","ACE INA","UK/ACE Ltd","$169,900","$39,500","$130,400",2004
"5","AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$11,500","$500","$11,000",2004
"6","AEGON USA","Netherlands/Aegon NV","$174,500","$72,000","$102,500",2004
"7","AIM Management Group","UK/AMVESCAP","$18,500","$5,000","$13,500",2004
"8","Air Liquide America","France/L'Air Liquide SA","$12,925","$4,750","$8,175",2004
"9","Alcatel USA","France/Alcatel","$12,500","$1,000","$11,500",2004
"10","Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$32,220","$8,500","$23,720",2004
"11","Allfirst Financial","Ireland/Allied Irish Banks","$0","$0","$0",2004
"12","Allianz of America (Allianz)","Germany/Allianz AG Holding","$116,750","$40,400","$76,350",2004
"13","Allied Domecq Spirits & Wine","UK/Allied Domecq","$43,500","$12,000","$31,500",2004
"14","American Medical Response","Canada/Onex Corp","$0","$0","$0",2004
"15","American Water Works Co (RWE AG)","Germany/RWE AG","$1,000","$1,000","$0",2004
"16","Anglogold Ltd","UK/Anglo American PLC","$6,500","$3,000","$3,500",2004
"17","APL Ltd","Singapore/Neptune Orient Lines Ltd","$16,500","$11,000","$5,500",2004
"18","Arcadis G&M","Netherlands/Arcadis NV","$11,200","$1,200","$10,000",2004
"19","AREVA Inc","France/Areva Group","$18,500","$2,000","$16,500",2004
"20","ASARCO LLC","Mexico/Nueva Grupo Mexico","$0","$0","$0",2004
"21","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$219,130","$61,630","$157,500",2004
"22","ATOFINA Chemicals (TOTAL SA)","France/TOTAL SA","$22,000","$2,500","$19,500",2004
"23","Austin, Nichols & Co","France/Pernod Ricard SA","$5,500","$2,500","$3,000",2004
"24","Aventis Pharmaceuticals (Sanofi-Aventis)","France/Sanofi-Aventis","$109,265","$25,515","$83,750",2004
"25","AXA Equitable Life Insurance (AXA)","France/AXA","$145,500","$39,000","$106,500",2004
"26","Babcock & Wilcox (McDermott International)","Panama/McDermott International","$26,000","$7,000","$19,000",2004
"27","Bacardi USA","UK/Bacardi Ltd","$13,973","$4,000","$9,973",2004
"28","BAE Systems Information Technology (BAE Systems North America)","UK/BAE Systems","$0","$0","$0",2004
"29","BAE Systems North America (BAE Systems)","UK/BAE Systems","$302,150","$134,100","$168,050",2004
"30","Ballard Power Systems","Canada/Ballard Power Systems","$5,000","$5,000","$0",2004
"31","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$60,000","$14,000","$46,000",2004
"32","BASF Corp","Germany/BASF Group","$92,000","$10,500","$81,500",2004
"33","Bayer Corp","Germany/Bayer AG","$250,500","$59,000","$191,500",2004
"34","BNFL Inc (BNFL PLC)","UK/British Nuclear Fuels PLC","$23,500","$1,000","$22,500",2004
"35","BOC Group","UK/BOC Group","$0","$0","$0",2004
"36","Bombardier Transportation USA","Canada/Bombardier Inc","$19,025","$4,500","$14,525",2004
"37","BP North America","UK/BP PLC","$219,999","$83,500","$136,499",2004
"38","Bridgestone Americas","Japan/Bridgestone Corp","$107,250","$34,000","$73,250",2004
"39","Budd Co","Germany/ThyssenKrupp AG","$15,827","$3,000","$12,827",2004
"40","Burson-Marsteller (WPP Group)","UK/WPP Group","$78,250","$29,500","$46,250",2004
"41","Business Men's Assurance Co","Italy/Assicurazioni Generali","$4,065","$0","$4,065",2004
"42","Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$5,500","$0","$5,500",2004
"43","BWX Technologies (McDermott International)","Panama/McDermott International","$75,499","$15,500","$59,999",2004
