"","name","country_parent","total","dems","repubs","year"
"1","ABB Group","Switzerland/Asea Brown Boveri","$5,500","$3,500","$2,000",2012
"2","Abengoa Solar","Spain/Abengoa SA","$0","$0","$0",2012
"3","Accenture (Accenture)","Ireland/Accenture plc","$0","$0","$0",2012
"4","Accenture (Accenture)","Ireland/Accenture plc","$304,500","$160,000","$144,500",2012
"5","ACE INA","Switzerland/ACE Ltd","$281,500","$121,500","$160,000",2012
"6","Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$115,750","$22,000","$93,750",2012
"7","Advanced BioHealing (Shire Plc)","UK/Shire Plc","$37,250","$19,750","$17,500",2012
"8","Agrium US","Canada/Agrium Inc","$112","$0","$112",2012
"9","Air Liquide America","France/L'Air Liquide SA","$25,500","$12,000","$9,000",2012
"10","Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$19,000","$8,000","$11,000",2012
"11","Alcon Laboratories (Novartis AG)","Switzerland/Novartis","$8,000","$2,000","$6,000",2012
"12","Alkermes Inc","Ireland/Alkermes Plc","$6,000","$1,000","$5,000",2012
"13","Allianz of America (Allianz)","Germany/Allianz AG Holding","$80,750","$25,000","$55,750",2012
"14","Alstom","France/Alstom SA","$0","$0","$0",2012
"15","AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0",2012
"16","Anheuser-Busch","Belgium/Anheuser-Busch InBev","$806,381","$361,381","$445,000",2012
"17","AON Corp (AON plc)","UK/AON PLC","$115,000","$49,000","$66,000",2012
"18","APL Ltd","Singapore/Neptune Orient Lines Ltd","$35,500","$6,000","$29,500",2012
"19","Arcadis US","Netherlands/Arcadis NV","$184,500","$95,000","$89,500",2012
"20","ArcelorMittal USA","Luxembourg/ArcelorMittal","$69,500","$29,000","$40,500",2012
"21","Arch Capital Group (US)","UK/Arch Capital Group","$9,000","$2,000","$7,000",2012
"22","AREVA Inc","France/Areva Group","$106,750","$48,250","$58,500",2012
"23","Arkema Inc","France/Arkema","$22,500","$6,000","$16,500",2012
"24","Ashta Chemicals","Mexico/Bigshire Mexico","$0","$0","$0",2012
"25","Astellas US","Japan/Astellas Pharma","$85,500","$44,000","$41,500",2012
"26","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$640,452","$296,952","$343,500",2012
"27","Atkins North America","UK/WS Atkins PLC","$2,750","$1,500","$1,250",2012
"28","Atlantic Marine (BAE Systems)","UK/BAE Systems","$0","$0","$0",2012
"29","Aviva USA","UK/Aviva PLC","$6,500","$4,000","$2,500",2012
"30","AXA Equitable Life Insurance (AXA)","France/AXA","$149,500","$74,000","$75,500",2012
"31","AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$3,000","$2,000","$1,000",2012
"32","Bacardi USA","UK/Bacardi Ltd","$16,500","$8,000","$8,500",2012
"33","BAE Systems (BAE Systems)","UK/BAE Systems","$737,000","$276,000","$461,000",2012
"34","BancWest Corp (BNP Paribas)","France/BNP Paribas","$6,000","$0","$6,000",2012
"35","Barclays Group US","UK/Barclays plc","$104,499","$23,500","$80,999",2012
"36","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$113,500","$45,000","$68,500",2012
"37","BASF Corp","Germany/BASF SE","$411,500","$118,500","$293,000",2012
