"","name","country_parent","total","dems","repubs","year"
"68","Daimler Trucks North America (Daimler AG)","Germany/Daimler AG","$4,000","$2,000","$2,000",2018
"69","Delhaize America","Belgium/Ahold Delhaize","$20,750","$6,250","$12,000",2018
"70","Deutsche Bank Securities","Germany/Deutsche Bank AG","$16,500","$5,000","$11,500",2018
"71","DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0",2018
"72","Diageo North America (Diageo PLC)","UK/Diageo PLC","$58,085","$32,821","$25,264",2018
"73","Direct Energy Inc","UK/Centrica Plc","$33,500","$9,000","$24,500",2018
"74","Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$58,000","$9,000","$49,000",2018
"75","EDF Renewables (EDF Group)","France/EDF Group","$34,000","$11,500","$22,500",2018
"76","EDP Renewables NA","Portugal/EDP - Energias de Portugal","$21,500","$8,500","$11,500",2018
"77","Eisai Inc","Japan/Eisai Co Ltd","$29,000","$13,000","$16,000",2018
"78","Elbit Systems of America","Israel/Elbit Systems Ltd","$79,500","$13,500","$66,000",2018
"79","Elekta Inc (Elekta AB)","Sweden/Elekta AB","$48,000","$23,500","$24,500",2018
"80","Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$37,500","$7,500","$30,000",2018
"81","EMD Serono Inc","Germany/Merck KGaA","$169,000","$84,000","$85,000",2018
"82","Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$4,500","$0","$4,500",2018
"83","Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$30,500","$7,500","$23,000",2018
"84","Enbridge Inc","Canada/Enbridge Inc","$120,200","$21,500","$92,200",2018
"85","EnCana Oil & Gas USA","Canada/EnCana Corp","$24,500","$7,000","$17,500",2018
"86","Endo Pharmaceuticals","Ireland/Endo International","$88,500","$26,000","$62,500",2018
"87","ENGIE North America","France/ENGIE","$4,500","$1,000","$2,500",2018
"88","Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$12,500","$2,000","$10,500",2018
"89","Essent US Holdings","UK/Essent Group","$6,000","$1,000","$5,000",2018
"90","Experian","UK/Experian","$552,000","$186,500","$365,500",2018
"91","Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$348,700","$103,000","$245,700",2018
"92","First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$1,000","$1,000","$0",2018
"93","Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$79,000","$20,500","$58,500",2018
"94","Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$8,780","$3,640","$5,140",2018
"95","FMC Technologies","UK/TechnipFMC plc","-$3,000","$0","-$3,000",2018
"96","Framatome (EDF Group)","France/EDF Group","$50,500","$20,000","$30,500",2018
"97","Fresenius Medical Care North America","Germany/Fresenius Medical Care","$323,000","$149,000","$174,000",2018
"98","G4S Secure Solutions","UK/G4S plc","$15,000","$5,000","$10,000",2018
"99","Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$37,400","$10,500","$26,900",2018
"100","GE Appliances","China/Haier Group","$24,000","$4,500","$19,500",2018
"101","Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$573,000","$232,000","$341,000",2018
"102","General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0",2018
"103","Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$8,500","$5,000","$3,500",2018
"104","Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$750","$0","$750",2018
"105","GlaxoSmithKline","UK/GlaxoSmithKline","$320,250","$138,500","$181,750",2018
"106","Glover Park Group (WPP Group)","UK/WPP Group","$143,200","$94,700","$48,000",2018
"107","Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$12,500","$0","$12,500",2018
"108","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$1,500","$0","$1,500",2018
"109","Greyhound Lines","UK/FirstGroup PLC","$17,500","$8,500","$9,000",2018
"110","Headwaters Inc","Australia/Boral Ltd","$14,507","$1","$14,506",2018
"111","Heineken USA","Netherlands/L'Arche Green NV","$47,750","$21,250","$26,500",2018
"112","Herbalife Nutrition","UK/Herbalife Ltd","$149,219","$67,519","$81,700",2018
"113","Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$55,500","$16,500","$39,000",2018
"114","Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$106,000","$29,000","$77,000",2018
"115","Horizon Pharma USA","Ireland/Horizon Pharma PLC","$81,200","$42,700","$38,500",2018
"116","HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$1,000","$0","$1,000",2018
"117","HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$164,000","$76,500","$87,500",2018
"118","IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$30,456","$7,500","$22,956",2018
"119","IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$65,500","$29,000","$36,500",2018
"120","Infineon Technologies","Germany/Infineon Technologies AG","$2,000","$1,000","$1,000",2018
"121","Ingersoll-Rand","Ireland/Ingersoll Rand Co","$33,500","$13,100","$20,400",2018
"122","Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$45,500","$17,500","$28,000",2018
"123","Intergraph Corp","Sweden/Hexagon AB","$2,500","$0","$2,500",2018
"124","ITG Brands (Imperial Brands)","UK/Imperial Brands","$165,500","$27,000","$138,500",2018
"125","Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$12,000","$5,000","$7,000",2018
"126","Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$263,489","$66,500","$196,989",2018
"127","JBS USA","Brazil/JBS SA","$46,000","$2,000","$44,000",2018
"128","John Hancock Life Insurance","Canada/Manulife Financial","$118,200","$62,000","$55,200",2018
"129","Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$240,500","$121,000","$117,500",2018
"130","Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$1,000","$0","$1,000",2018
"131","Kawasaki Heavy Industries","Japan/Kawasaki Heavy Industries","$500","$0","$500",2018
"132","Komatsu Mining","Japan/Komatsu Ltd","$17,760","$1,000","$16,760",2018
"133","Lanxess Corp (Lanxess AG)","Germany/Lanxess Corp","$250","$0","$250",2018
"134","Lehigh Hanson","Germany/HeidelbergCement AG","$159,000","$13,500","$145,500",2018
"135","Leonardo DRS","Italy/Leonardo SpA","$198,500","$60,000","$138,500",2018
"136","Lincare Holdings (Linde AG)","Germany/Linde AG","$3,000","$1,000","$2,000",2018
"137","Linde North America (Linde AG)","Germany/Linde AG","$109,000","$43,500","$65,500",2018
"138","Livanova Inc","UK/Livanova Plc","$0","$0","$0",2018
"139","Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$13,000","$0","$13,000",2018
"140","LSEG US","UK/London Stock Exchange Group","$16,500","$8,000","$8,500",2018
"141","Lundbeck Inc","Denmark/H Lundbeck A/S","$71,500","$33,500","$38,000",2018
"142","LyondellBasell Industries","Netherlands/LyondellBasell Industries","$116,000","$18,000","$98,000",2018
"143","M-E Companies","Canada/IBI Group","$0","$0","$0",2018
"144","Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$56,000","$25,500","$29,500",2018
"145","Magna US","Canada/Magna International","$0","$0","$0",2018
"146","Magnolia LNG","Australia/LNG Limited","$4,500","$0","$4,500",2018
"147","Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$265,000","$105,000","$160,000",2018
"148","Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$19,500","$6,000","$13,500",2018
"149","Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$23,246","$10,246","$13,000",2018
"150","Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$113,500","$34,500","$76,500",2018
"151","Maxar Technologies Holdings (Maxar Technologies)","Canada/Maxar Technologies","$7,000","$4,000","$3,000",2018
"152","MBDA Inc","UK/MBDA","$6,000","$0","$6,000",2018
"153","Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$0","$0","$0",2018
"154","Medtronic Inc","Ireland/Medtronic Plc","$293,000","$133,000","$159,000",2018
"155","MillerCoors LLC (Molson Coors Brewing)","Canada/Molson Coors Brewing","$163,000","$62,000","$101,000",2018
"156","Miraca Life Sciences","Japan/Miraca Holdings","$0","$0","$0",2018
"157","Mitsubishi Hitachi Power Systems","Japan/Mitsubishi Hitachi Power Systems","$23,400","$0","$23,400",2018
"158","Monsanto Co (Bayer AG)","Germany/Bayer AG","$349,500","$114,500","$235,000",2018
"159","MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$2,500","$2,500","$0",2018
"160","Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0",2018
"161","Mylan Inc","Netherlands/Mylan NV","$83,000","$33,500","$49,500",2018
"162","Nammo Talley Inc","Norway/Nammo AS","$19,500","$4,500","$15,000",2018
"163","National Cement Co","France/Vicat Group","$1,000","$0","$1,000",2018
"164","National Grid USA (National Grid plc)","UK/National Grid plc","$61,500","$45,500","$16,000",2018
"165","Natixis Investment Managers","France/Groupe BPCE","$18,500","$10,500","$8,000",2018
"166","Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$23,750","$9,750","$14,000",2018
"167","Nomura Holding America","Japan/Nomura Holdings","$113,500","$48,000","$65,500",2018
"168","NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0",2018
"169","Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$293,000","$166,000","$127,000",2018
"170","Novo Nordisk","Denmark/Novo Nordisk A/S","$405,938","$188,000","$217,938",2018
"171","Novocure Inc","UK/Novocure","$52,200","$6,700","$45,500",2018
"172","Nutrien Ltd","Canada/Nutrien Ltd","$8,000","$0","$8,000",2018
"173","Orano USA (Orano Group)","France/Orano Group","$11,000","$2,500","$8,500",2018
"174","Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$83,000","$45,000","$38,000",2018
"175","Permobil Inc (Investor AB)","Sweden/Investor AB","$8,500","$1,000","$7,500",2018
"176","Pernod Ricard USA","France/Pernod Ricard SA","$23,700","$3,000","$20,700",2018
"177","Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$1,500","$0","$1,500",2018
"178","Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$81,000","$41,000","$40,000",2018
"179","Philips Electronics North America (Philips)","Netherlands/Philips","$66,000","$33,000","$33,000",2018
"180","Prime Policy Group (WPP Group)","UK/WPP Group","$40,250","$15,750","$24,000",2018
"181","Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$64,500","$17,700","$46,800",2018
"182","Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$8,941","$0","$8,941",2018
"183","RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$59,500","$35,000","$24,500",2018
"184","Recurrent Energy","Canada/Canadian Solar","$2,000","$1,000","$1,000",2018
"185","RELX Inc","UK/RELX Group","$207,600","$98,500","$109,100",2018
"186","Renewable Energy Systems Americas","UK/Renewable Energy Systems","$15,051","$1,000","$13,551",2018
"187","Resolute FP US","Canada/Resolute Forest Products","$80,700","$12,200","$67,500",2018
"188","Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$380,000","$34,000","$346,000",2018
"189","Rio Tinto America","UK/Rio Tinto Group","$12,500","$4,500","$8,000",2018
"190","Roho Group (Investor AB)","Sweden/Investor AB","$500","$500","$0",2018
"191","Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$303,500","$78,500","$225,000",2018
"192","Safelite Group","Belgium/D'Ieteren SA","$5,700","$1,000","$4,700",2018
"193","Samsung Electronics America","South Korea/Samsung Group","$143,000","$72,500","$70,500",2018
"194","Sanofi US (Sanofi)","France/Sanofi","$442,200","$208,700","$233,500",2018
"195","Santander Bank (Banco Santander)","Spain/Banco Santander","$24,500","$9,500","$15,000",2018
"196","SAP America","Germany/SAP SE","$59,000","$40,000","$19,000",2018
"197","Schaeffler Group USA","Germany/Schaeffler Group","$2,500","$0","$2,500",2018
"198","Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0",2018
"199","Serco Inc","UK/Serco Group","$107,500","$40,500","$67,000",2018
"200","Shell Oil","Netherlands/Royal Dutch Shell","$23,000","$3,500","$19,500",2018
"201","Shire Holdings US (Shire PLC)","Ireland/Shire Plc","$84,000","$47,000","$37,000",2018
"202","Siemens Corp","Germany/Siemens AG","$189,250","$76,000","$113,250",2018
"203","Smith & Nephew","UK/Smith & Nephew Plc","$78,000","$33,000","$45,000",2018
"204","Smithfield Foods","China/WH Group","$60,000","$20,000","$40,000",2018
"205","Smiths Detection (Smiths Group)","UK/Smiths Group PLC","$0","$0","$0",2018
"206","Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$134,700","$36,500","$98,200",2018
"207","Sodexo Inc","France/Sodexo","-$1,000","$0","-$1,000",2018
"208","Solvay America","Belgium/Solvay SA","$19,200","$8,000","$11,200",2018
"209","Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$1,000","$1,000","$0",2018
"210","Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$164,000","$85,000","$79,000",2018
"211","Sprint Communications (SoftBank Corp)","Japan/Softbank Corp","$184,000","$73,500","$110,500",2018
"212","SSAB Americas","Sweden/SSAB AB","$13,600","$4,500","$9,100",2018
"213","Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$10,000","$1,000","$7,500",2018
"214","Steris Corp","UK/Steris PLC","$51,000","$16,500","$34,500",2018
"215","SUEZ Water","France/SUEZ Environnement","$11,000","$10,000","$1,000",2018
"216","Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$23,600","$8,900","$12,000",2018
"217","Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$50,500","$26,000","$24,500",2018
"218","Sunpower Corp","France/Total SA","$7,000","$2,000","$5,000",2018
"219","Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$13,500","$2,500","$11,000",2018
"220","Swiss Re America","Switzerland/Swiss Reinsurance","$44,000","$17,000","$27,000",2018
"221","Syngenta Corp","China/ChemChina","$125,200","$47,500","$77,700",2018
"222","T-Mobile USA","Germany/Deutsche Telekom AG","$694,500","$314,000","$374,500",2018
"223","Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$143,500","$77,500","$66,000",2018
"224","Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$26,900","$7,000","$19,900",2018
"225","TD Bank USA","Canada/Toronto-Dominion Bank","$197,500","$91,500","$101,000",2018
"226","TE Connectivity","Switzerland/TE Connectivity","$94,000","$34,000","$60,000",2018
"227","TECO Energy","Canada/Emera Inc","$37,500","$11,500","$26,000",2018
"228","Terumo BCT","Japan/Terumo Corp","$0","$0","$0",2018
"229","Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$45,500","$17,000","$28,500",2018
"230","Toyota Motor North America","Japan/Toyota Motor Corp","$874,999","$378,000","$496,999",2018
"231","TransAmerica","Netherlands/Aegon NV","$458,500","$226,500","$230,000",2018
"232","Transcanada USA Services (Transcanada Corp)","Canada/TransCanada Corp","$149,500","$51,500","$94,500",2018
"233","Travelport Inc","UK/Travelport Ltd","$1,000","$0","$1,000",2018
"234","UBS Americas","Switzerland/UBS AG","$1,389,750","$645,750","$734,000",2018
"235","UCB Inc (UCB SA)","Belgium/UCB SA","$41,000","$6,000","$35,000",2018
"236","Ultra Electronics USA","UK/Ultra Electronics","$59,000","$15,000","$44,000",2018
"237","Universal Music Group (Vivendi)","France/Vivendi","$114,494","$64,494","$50,000",2018
"238","Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$16,000","$5,500","$10,500",2018
"239","VNA Holding (AB Volvo)","Sweden/AB Volvo","$16,000","$8,000","$8,000",2018
"240","VT Halter Marine","Singapore/ST Engineering","$12,500","$0","$12,500",2018
"241","Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$21,000","$13,000","$8,000",2018
"242","Westfield Corp (Unibail-Rodamco-Westfield)","Australia/Westfield Group of Australia","$4,000","$1,500","$2,500",2018
"243","Westinghouse Electric","Canada/Brookfield Business Partners","$68,500","$25,000","$43,500",2018
"244","Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$43,000","$15,500","$27,500",2018
"245","WSP USA","Canada/WSP Global","$151,724","$86,650","$65,074",2018
"246","XL America","France/AXA","$0","$0","$0",2018
"247","ZF TRW Automotive (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$30,000","$14,000","$16,000",2018
"248","Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$173,000","$92,500","$80,500",2018
