"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Seven & I Holdings","$5,500","$1,000","$4,500",2018
"2","ABB Group (ABB Group)","Switzerland/Asea Brown Boveri","$10,500","$4,000","$6,500",2018
"3","Accenture (Accenture)","Ireland/Accenture plc","$177,000","$80,500","$96,500",2018
"4","Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$89,000","$9,000","$80,000",2018
"5","Air Liquide America","France/L'Air Liquide SA","$49,512","$7,000","$42,512",2018
"6","Airbus Group","Netherlands/Airbus Group","$191,500","$65,500","$126,000",2018
"7","Alkermes Inc","Ireland/Alkermes Plc","$165,000","$65,500","$99,500",2018
"8","Allergan Inc (Allergan PLC)","Ireland/Allergan PLC","$157,500","$26,000","$131,500",2018
"9","Allianz of America (Allianz)","Germany/Allianz AG Holding","$89,750","$29,950","$59,800",2018
"10","AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2,000","$0","$2,000",2018
"11","Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$495,000","$241,000","$254,000",2018
"12","AON Corp (AON plc)","UK/AON PLC","$112,200","$39,500","$72,700",2018
"13","APL Ltd (CMA CGM)","France/CMA CGM SA","$7,500","$2,000","$5,500",2018
"14","APL Maritime (CMA CGM)","France/CMA CGM SA","$12,500","$6,000","$5,500",2018
"15","Aptiv PLC","Ireland/Aptiv PLC","$5,000","$2,000","$3,000",2018
"16","Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$250","$250","$0",2018
"17","ArcelorMittal USA","Luxembourg/ArcelorMittal","$54,500","$25,500","$29,000",2018
"18","Arch Capital Group (US)","UK/Arch Capital Group","$11,500","$4,000","$7,500",2018
"19","Arkema Inc","France/Arkema","$58,500","$26,000","$32,500",2018
"20","Ash Grove (CRH Plc)","Ireland/CRH PLC","$44,500","$0","$44,500",2018
"21","Ashta Chemicals","Mexico/Bigshire Mexico","$0","$0","$0",2018
"22","Ashton Woods Corp","Canada/Great Gulf Group","$2,500","$0","$2,500",2018
"23","Assured Guaranty Municipal Corp (Assured Guaranty US Holdings)","UK/Assured Guaranty Ltd","$2,700","$0","$2,700",2018
"24","Astellas US","Japan/Astellas Pharma","$185,700","$75,000","$110,700",2018
"25","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$358,500","$136,500","$222,000",2018
"26","Atkins North America","UK/SNC-Lavalin","$9,000","$0","$9,000",2018
"27","Austal USA (Austal Ltd)","Australia/Austal Ltd","$45,600","$11,100","$34,500",2018
"28","Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$109,500","$65,000","$41,000",2018
"29","AXA Equitable Life Insurance (AXA)","France/AXA","$119,500","$38,500","$81,000",2018
"30","Bacardi USA","UK/Bacardi Ltd","$46,000","$20,500","$24,500",2018
"31","BAE Systems (BAE Systems)","UK/BAE Systems","$611,500","$229,000","$378,500",2018
"32","Barclays Group US","UK/Barclays plc","$208,238","$80,500","$124,738",2018
"33","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$63,000","$31,000","$32,000",2018
"34","BASF Corp","Germany/BASF SE","$638,875","$301,625","$337,250",2018
"35","Bayer Corp (Bayer AG)","Germany/Bayer AG","$278,000","$86,500","$191,500",2018
"36","BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$250,500","$69,500","$181,000",2018
"37","Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$29,070","$4,000","$25,070",2018
"38","BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0",2018
"39","BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$106,984","$42,500","$64,484",2018
"40","BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$61,765","$38,460","$23,305",2018
"41","Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$123,500","$61,500","$62,000",2018
"42","Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$40,500","$20,500","$20,000",2018
"43","BP North America","UK/BP PLC","$348,500","$117,000","$231,500",2018
"44","Bridgestone Americas","Japan/Bridgestone Corp","$28,000","$6,000","$22,000",2018
"45","Brightspring Health Services (Onex Corp)","Canada/Onex Corp","$9,950","$2,700","$7,250",2018
"46","Bumble Bee Foods","UK/Lion Capital","$8,000","$2,000","$6,000",2018
"47","Buzzi Unicem USA (Buzzi Unicem SpA)","Italy/Buzzi Unicem SpA","$0","$0","$0",2018
"48","CalPortland Co","Japan/Taiheiyo Cement Co","$103,500","$6,000","$97,500",2018
"49","Cardtronics Inc","UK/Cardtronics Plc","$2,500","$0","$2,500",2018
"50","Carmeuse Lime","Netherlands/Carmeuse SA","$0","$0","$0",2018
"51","Case New Holland","Netherlands/CNH Industrial","$92,000","$8,000","$84,000",2018
"52","CEMEX Inc","Mexico/CEMEX SAB de CV","$279,000","$47,000","$232,000",2018
"53","CGI Technologies & Solutions","Canada/CGI Group","$44,500","$20,500","$24,000",2018
"54","Chicago Bridge & Iron (McDermott International)","Panama/McDermott International","$91,500","$24,500","$67,000",2018
"55","Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$205,000","$79,000","$126,000",2018
"56","CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$2,000","$0","$2,000",2018
"57","Cirrus Aircraft Corp","China/Aviation Industry Corp of China","$6,000","$2,000","$4,000",2018
"58","CMOC Mining USA (China Molybdenum Co)","China/China Molybdenum Co","$1,500","$0","$1,500",2018
"59","Cobham Management Services","UK/Cobham PLC","$176,500","$57,500","$119,000",2018
"60","Columbia Pipeline Group (TransCanada Corp)","Canada/TransCanada Corp","$500","$3,500","-$3,000",2018
"61","Commonwealth-Altadis (Imperial Brands)","UK/Imperial Tobacco Group","$0","$0","$0",2018
"62","Continental Automotive Systems (Continental AG)","Germany/Continental AG","$122,000","$47,500","$74,500",2018
"63","Covestro LLC (Covestro AG)","Germany/Covestro AG","$35,000","$9,500","$25,500",2018
"64","Credit Suisse Securities","Switzerland/Credit Suisse Group","$364,000","$187,500","$176,500",2018
"65","CRH Americas (CRH PLC)","Ireland/CRH PLC","$468,750","$149,000","$319,750",2018
"66","CSL Behring","Australia/CSL Ltd","$83,500","$23,000","$60,500",2018
"67","Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$75,500","$30,000","$45,500",2018
