"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Ito-Yokado","$8,500","$1,500","$7,000",2000
"2","ABB Group","Switzerland/Asea Brown Boveri","$46,000","$17,000","$28,500",2000
"3","Accenture","UK/Accenture plc","$75,984","$23,000","$52,984",2000
"4","ACE INA","UK/ACE Group","$38,500","$12,500","$26,000",2000
"5","Acuson Corp (Siemens AG)","Germany/Siemens AG","$2,000","$2,000","$0",2000
"6","Adtranz (DaimlerChrysler)","Germany/DaimlerChrysler AG","$10,500","$10,000","$500",2000
"7","AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$24,000","$10,000","$14,000",2000
"8","AEGON USA (AEGON NV)","Netherlands/Aegon NV","$58,250","$10,500","$47,750",2000
"9","AIM Management Group","UK/AMVESCAP","$25,000","$10,000","$15,000",2000
"10","Air Liquide America","France/L'Air Liquide SA","$0","$0","$0",2000
"11","Alcatel USA","France/Alcatel","$21,000","$6,000","$15,000",2000
"12","Aliant Communications","Canada/BCE","$2,000","$1,000","$1,000",2000
"13","Allfirst Financial","Ireland/Allied Irish Banks","$11,900","$6,950","$4,950",2000
"14","Allied Domecq Spirits & Wine","UK/Allied Domecq","$41,800","$6,200","$35,600",2000
"15","AMP Inc (Tyco International)","Ireland/Tyco International","$17,750","$1,250","$16,500",2000
"16","Anglogold Ltd","UK/Anglo American PLC","$14,000","$4,000","$10,000",2000
"17","APL Ltd","Singapore/Neptune Orient Lines Ltd","$20,200","$5,450","$14,750",2000
"18","Aqua-Chem Inc","France/Lyonnaise des Eaux-Dumez Group","$1,639","$0","$1,639",2000
"19","ASARCO LLC","Mexico/Nueva Grupo Mexico","$20,735","$2,000","$18,735",2000
"20","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$131,155","$28,250","$102,905",2000
"21","Atlantic Richfield (BP)","UK/BP PLC","$106,454","$30,979","$75,475",2000
"22","ATOFINA Chemicals (TotalFinaElf)","France/TOTAL FINA ELF","$25,650","$5,650","$20,000",2000
"23","ATOFINA Petrochemicals (TotalFinaElf)","France/TotalFinaElf","$25,000","$9,250","$15,750",2000
"24","Aventis CropScience (Aventis)","France/Aventis","$23,500","$12,500","$11,000",2000
"25","Aventis Pasteur USA (Aventis)","France/Aventis","$107,500","$54,500","$53,000",2000
"26","Aventis Pharmaceuticals (Aventis)","France/Aventis","$18,000","$1,500","$16,500",2000
"27","Aventis Pharmaceuticals Products (Aventis)","France/Aventis","$48,700","$7,500","$41,200",2000
"28","Bacardi USA (Bacardi Ltd)","UK/Bacardi Ltd","$500","$0","$500",2000
"29","Bacardi USA (Bacardi Ltd)","UK/Bacardi Ltd","$0","$0","$0",2000
"30","BAE Systems North America (BAE Systems)","UK/BAE Systems","$243,639","$98,580","$145,059",2000
"31","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$73,250","$20,075","$53,175",2000
"32","BASF Corp","Germany/BASF Group","$219,250","$31,500","$185,750",2000
"33","Bayer Corp","Germany/Bayer AG","$245,500","$57,500","$188,000",2000
"34","Bear Creek Corp (Yamanouchi Consumer)","Japan/Yamanouchi Consumer","$4,500","$1,500","$3,000",2000
"35","BHP Holdings","Australia/Broken Hill Proprietary","$4,250","$1,500","$2,750",2000
"36","Bird-Johnson Co (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$6,500","$4,000","$2,500",2000
"37","Blue Circle America","UK/Blue Circle Industries","$31,500","$5,000","$26,500",2000
"38","BOC Group","UK/BOC Group","$0","$0","$0",2000
"39","BP (BP)","UK/BP PLC","-$3,000","-$3,000","$0",2000
"40","BP North America (BP)","UK/BP PLC","$204,000","$56,500","$147,500",2000
"41","Brinson Partners","Switzerland/UBS AG","$0","$0","$0",2000
"42","Brown & Williamson Tobacco","UK/British American Tobacco","$363,550","$116,500","$243,050",2000
