"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Seven & I Holdings","$0","$0","$0",2014
"2","ABB Group","Switzerland/Asea Brown Boveri","$12,000","$4,000","$7,000",2014
"3","Accenture (Accenture)","Ireland/Accenture plc","$435,000","$195,500","$238,500",2014
"4","ACE INA","Switzerland/ACE Ltd","$213,000","$91,000","$120,000",2014
"5","ADT Security Services (Tyco International)","Ireland/Tyco International","$20,000","$10,000","$10,000",2014
"6","Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$78,000","$3,000","$75,000",2014
"7","Advanced BioHealing (Shire Plc)","UK/Shire Plc","$6,500","$4,000","$2,500",2014
"8","Air Liquide America","France/L'Air Liquide SA","$43,500","$18,500","$25,000",2014
"9","Airbus Group","Netherlands/Airbus Group","$201,700","$41,500","$159,200",2014
"10","Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$3,000","$0","$3,000",2014
"11","Alkermes Inc","Ireland/Alkermes Plc","$58,600","$30,900","$27,700",2014
"12","Allianz of America (Allianz)","Germany/Allianz AG Holding","$85,900","$22,400","$62,300",2014
"13","AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0",2014
"14","Anheuser-Busch","Belgium/Anheuser-Busch InBev","$565,898","$245,731","$317,667",2014
"15","AON Corp (AON plc)","UK/AON PLC","$133,500","$68,000","$65,500",2014
"16","APL Ltd","Singapore/Neptune Orient Lines Ltd","$32,750","$20,250","$12,500",2014
"17","Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$11,100","$4,600","$6,500",2014
"18","ArcelorMittal USA","Luxembourg/ArcelorMittal","$81,500","$32,000","$49,500",2014
"19","Arch Capital Group (US)","UK/Arch Capital Group","$5,600","$5,600","$0",2014
"20","AREVA Inc","France/Areva Group","$197,550","$97,600","$99,950",2014
"21","Arkema Inc","France/Arkema","$52,000","$22,000","$30,000",2014
"22","Ashta Chemicals","Mexico/Bigshire Mexico","$1,000","$1,000","$0",2014
"23","Ashton Woods Corp","Canada/Great Gulf Group","$2,000","$0","$2,000",2014
"24","Astellas US","Japan/Astellas Pharma","$143,600","$68,100","$75,500",2014
"25","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$626,548","$275,548","$347,500",2014
"26","Atkins North America","UK/WS Atkins PLC","$2,000","$1,500","$500",2014
"27","Austal USA (Austal Ltd)","Australia/Austal Ltd","$6,000","$0","$6,000",2014
"28","Aviva USA","UK/Aviva PLC","$0","$0","$0",2014
"29","AXA Equitable Life Insurance (AXA)","France/AXA","$178,000","$79,500","$96,500",2014
"30","Bacardi USA","UK/Bacardi Ltd","$12,000","$4,500","$7,500",2014
"31","BAE Systems (BAE Systems)","UK/BAE Systems","$843,499","$319,999","$517,500",2014
"32","BancWest Corp (BNP Paribas)","France/BNP Paribas","$19,500","$2,000","$17,500",2014
"33","Barclays Group US","UK/Barclays plc","$118,000","$55,000","$63,000",2014
"34","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$86,000","$41,500","$44,500",2014
"35","BASF Corp","Germany/BASF SE","$388,500","$134,000","$253,500",2014
"36","Bayer Corp","Germany/Bayer AG","$307,500","$87,500","$217,000",2014
"37","BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$329,975","$69,500","$260,475",2014
"38","Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$60,349","$31,500","$28,849",2014
"39","BioFire Diagnostics (Institut Merieux)","France/Institut Merieux","$2,500","$2,500","$0",2014
"40","BlackBerry","Canada/BlackBerry","$9,000","$3,000","$6,000",2014
"41","BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$17,900","$10,300","$7,600",2014
"42","Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$210,600","$112,600","$98,000",2014
"43","Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$14,000","$5,500","$8,500",2014
"44","Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$2,000","$2,000","$0",2014
"45","BP North America","UK/BP PLC","$463,000","$138,000","$325,000",2014
"46","Bridgestone Americas","Japan/Bridgestone Corp","$25,500","$3,000","$22,500",2014
"47","Bumble Bee Foods","UK/Lion Capital","$22,500","$7,500","$15,000",2014
"48","Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$3,000","$0","$3,000",2014
"49","CalPortland Co","Japan/Taiheiyo Cement Co","$52,500","$6,500","$46,000",2014
"50","Carmeuse Lime","Netherlands/LVI Holding","$9,500","$3,000","$6,500",2014
"51","Case New Holland","Netherlands/CNH Industrial","$70,000","$5,000","$65,000",2014
"52","CEMEX Inc","Mexico/CEMEX SAB de CV","$269,450","$66,350","$203,100",2014
"53","CGI Technologies & Solutions","Canada/CGI Group","$34,000","$12,000","$22,000",2014
"54","Chicago Bridge & Iron","Netherlands/Chicago Bridge & Iron NV","$161,000","$57,500","$103,500",2014
"55","Citizens Financial Group","UK/Royal Bank of Scotland Group","$109,000","$55,000","$54,000",2014
"56","Cobham Management Services","UK/Cobham PLC","$152,000","$72,500","$79,500",2014
"57","Commonwealth-Altadis","UK/Imperial Tobacco Group","$65,000","$4,000","$61,000",2014
"58","Continental Automotive Systems (Continental AG)","Germany/Continental AG","$9,500","$6,000","$3,500",2014
"59","Cooper Industries (Eaton Corp)","Ireland/Eaton Plc","$0","$0","$0",2014
"60","Covidien US","UK/Covidien Ltd","$192,500","$60,500","$131,500",2014
"61","Credit Suisse Securities","Switzerland/Credit Suisse Group","$419,250","$206,000","$213,250",2014
"62","CSL Behring","Australia/CSL Ltd","$49,600","$12,000","$37,600",2014
"63","Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$207,500","$65,500","$140,000",2014
"64","Delphi Automotive","UK/Delphi Automotive","$20,000","$10,000","$9,000",2014
"65","Deutsche Bank Securities","Germany/Deutsche Bank AG","$68,500","$6,500","$62,000",2014
"66","DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0",2014
"67","Diageo North America (Diageo PLC)","UK/Diageo PLC","$113,784","$57,477","$56,307",2014
"68","Direct Energy Inc","UK/Centrica Plc","$0","$0","$0",2014
"69","DRS Technologies","Italy/Finmeccanica SpA","$326,700","$125,600","$201,100",2014
"70","E2v Aerospace & Defense","UK/E2v Technologies PLC","$500","$500","$0",2014
"71","Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$51,900","$8,500","$43,400",2014
"72","EDF Renewable Energy","France/EDF Group","$24,250","$16,750","$7,500",2014
"73","EDP Renewables NA","Portugal/EDP - Energias de Portugal","$11,300","$7,800","$3,500",2014
"74","Eisai Inc","Japan/Eisai Co Ltd","$64,160","$24,160","$40,000",2014
"75","Elbit Systems of America","Israel/Elbit Systems Ltd","$49,000","$12,500","$36,500",2014
"76","Elekta Inc (Elekta AB)","Sweden/Elekta AB","$0","$0","$0",2014
"77","Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$20,500","$3,000","$17,500",2014
"78","EMD Serono Inc","Germany/Merck KGaA","$101,500","$60,000","$41,500",2014
"79","Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$0","$0","$0",2014
"80","EnCana Oil & Gas USA","Canada/EnCana Corp","$24,500","$4,000","$20,500",2014
"81","Endo Pharmaceuticals","Ireland/Endo International","$133,500","$33,500","$100,000",2014
"82","Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$3,500","$0","$3,500",2014
"83","Essroc Corp","Italy/Italcementi Group","$1,500","$1,500","$0",2014
"84","Experian","UK/Experian","$445,100","$165,100","$279,000",2014
"85","Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$303,700","$84,500","$219,200",2014
"86","First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$11,250","$10,750","$500",2014
"87","Food Lion","Belgium/Delhaize Group","$10,200","$5,200","$5,000",2014
"88","Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0",2014
"89","Fresenius Medical Care North America","Germany/Fresenius Medical Care","$198,000","$91,000","$107,000",2014
"90","G4S Secure Solutions","UK/G4S plc","$17,500","$5,000","$12,500",2014
"91","Gavilon (Marubeni Corp)","Japan/Marubeni Corp","$12,000","$4,000","$8,000",2014
"92","GDF Suez Energy North America","France/GDF SUEZ","$46,000","$18,000","$28,000",2014
"93","Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$306,500","$180,500","$123,500",2014
"94","General Cigar Co","Sweden/Scandinavian Tobacco Group","$12,000","$6,500","$5,500",2014
"95","Genzyme Corp (Sanofi)","France/Sanofi","$7,000","$6,000","$1,000",2014
"96","Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$0","$0","$0",2014
"97","GKN Corp","UK/GKN PLC","$6,000","$3,000","$3,000",2014
"98","Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$4,500","$0","$4,500",2014
"99","Glanbia Performance Nutrition (Glanbia PLC)","Ireland/Glanbia plc","$0","$0","$0",2014
"100","GlaxoSmithKline","UK/GlaxoSmithKline","$440,000","$174,500","$263,500",2014
"101","Glover Park Group (WPP Group)","UK/WPP Group","$139,800","$91,300","$48,500",2014
"102","Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$59,250","$21,250","$38,000",2014
