"","name","country_parent","total","dems","repubs","year"
"29","Ballard Power Systems","Canada/Ballard Power Systems","$0","$0","$0",2010
"30","BancWest Corp (BNP Paribas)","France/BNP Paribas","$0","$0","$0",2010
"31","Barclays Group US (Barclays)","UK/Barclays plc","$104,000","$46,500","$57,500",2010
"32","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$152,500","$33,000","$104,500",2010
"33","BASF Corp (BASF SE)","Germany/BASF SE","$350,500","$102,000","$246,500",2010
"34","Bayer Corp","Germany/Bayer AG","$419,000","$184,000","$231,000",2010
"35","BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$164,000","$42,000","$122,000",2010
"36","BMO Harris Bank","Canada/Bank of Montreal","$2,050","$2,050","$0",2010
"37","Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$236,000","$132,500","$101,500",2010
"38","Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$20,000","$19,000","$1,000",2010
"39","BP North America","UK/BP PLC","$71,500","$31,500","$35,000",2010
"40","Bridgestone Americas","Japan/Bridgestone Corp","$104,000","$65,500","$38,500",2010
"41","Bumble Bee Foods","UK/Lion Capital","$17,250","$12,750","$4,500",2010
"42","Burson-Marsteller (WPP Group)","UK/WPP Group","$82,250","$50,750","$31,500",2010
"43","Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$7,050","$1,000","$6,050",2010
"44","CalPortland Co","Japan/Taiheiyo Cement Co","$130,500","$22,000","$106,000",2010
"45","CaridianBCT","Sweden/Gambro AB","$0","$0","$0",2010
"46","Carmeuse Lime","Netherlands/LVI Holding","$9,500","$8,000","$1,500",2010
"47","Case New Holland","Italy/Fiat SPA","$82,000","$5,000","$77,000",2010
"48","CEMEX Inc","Mexico/CEMEX SAB de CV","$260,800","$33,400","$225,000",2010
"49","CGI Technologies & Solutions","Canada/CGI Group","$62,854","$34,000","$28,854",2010
"50","Ciba Inc (BASF SE)","Germany/BASF SE","$15,725","$7,725","$8,000",2010
"51","Citizens Financial Group","UK/Royal Bank of Scotland Group","$111,150","$89,150","$22,000",2010
"52","Cobham Holdings (Cobham Holdings)","UK/Cobham plc","$15,000","$4,000","$11,000",2010
"53","Cobham Management Services (Cobham PLC)","UK/Cobham PLC","$137,125","$70,400","$64,225",2010
"54","Commonwealth Brands","UK/Imperial Tobacco Group","$68,300","$27,300","$41,000",2010
"55","Converteam Inc (Barclays)","UK/Barclays","$1,800","$1,800","$0",2010
"56","Cooper Industries","Ireland/Cooper Industries Ltd","$63,000","$26,000","$37,000",2010
"57","Covidien US","UK/Covidien Ltd","$182,500","$104,000","$78,500",2010
"58","Credit Suisse Securities","Switzerland/Credit Suisse Group","$487,000","$246,500","$240,500",2010
"59","CSL Behring","Australia/CSL Ltd","$34,250","$17,250","$17,000",2010
"60","Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$191,500","$65,500","$124,000",2010
"61","Deutsche Bank Securities","Germany/Deutsche Bank AG","$85,400","$48,400","$37,000",2010
"62","DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$3,000","$3,000","$0",2010
"63","Diageo North America (Diageo PLC)","UK/Diageo PLC","$131,752","$87,919","$43,833",2010
"64","Diageo North America/CT (Diageo PLC)","UK/Diageo PLC","$0","$0","$0",2010
"65","DRS Technologies","Italy/Finmeccanica SpA","$416,300","$186,000","$229,300",2010
"66","EADS North America","Netherlands/European Aeronautic Defence & Space Co","$207,200","$104,500","$102,700",2010
"67","Eisai Inc","Japan/Eisai Co Ltd","$68,000","$48,500","$19,500",2010
"68","Elbit Systems of America","Israel/Elbit Systems Ltd","$22,500","$11,500","$11,000",2010
"69","Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$7,000","$2,500","$3,500",2010
"70","EmCare Inc (Onex Corp)","Canada/Onex Corp","$0","$0","$0",2010
"71","EMD Serono Inc","Germany/Merck KGaA","$123,000","$83,000","$40,000",2010
"72","EnCana Oil & Gas USA","Canada/EnCana Corp","$0","$0","$0",2010
"73","Essroc Corp","Italy/Italcementi Group","$8,500","$2,500","$6,000",2010
"74","Experian","UK/Experian","$477,727","$145,000","$332,727",2010
"75","Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$176,944","$34,650","$141,794",2010
"76","First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$11,300","$9,800","$1,500",2010
"77","FirstGroup America (FirstGroup PLC)","UK/FirstGroup PLC","$0","$0","$0",2010
"78","Food Lion","Belgium/Delhaize Group","$14,000","$4,500","$9,500",2010
"79","Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0",2010
"80","Fresenius Medical Care North America","Germany/Fresenius Medical Care","$125,102","$97,500","$27,602",2010
"81","G4S Secure Solutions","UK/G4S plc","$61,500","$24,000","$32,500",2010
"82","GDF Suez Energy North America","France/GDF SUEZ","$72,750","$41,000","$26,750",2010
"83","Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$290,500","$128,500","$160,000",2010
"84","General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0",2010
"85","GKN Corp","UK/GKN PLC","$1,000","$1,000","$0",2010
"86","Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$2,900","$500","$2,400",2010
"87","GlaxoSmithKline","UK/GlaxoSmithKline","$619,500","$316,000","$297,500",2010
"88","Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$44,250","$26,000","$18,250",2010
"89","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$12,000","$6,000","$6,000",2010
"90","Greyhound Lines (FirstGroup PLC)","UK/FirstGroup PLC","$16,000","$10,500","$5,500",2010
"91","Gtech Corp","Italy/B&D Holding Di Marco Drago e C Sapa","$3,500","$3,500","$0",2010
"92","Halcrow Inc","UK/Halcrow Holdings","$1,000","$1,000","$0",2010
"93","Heineken USA","Netherlands/L'Arche Green NV","$53,500","$34,000","$19,500",2010
"94","Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$11,000","$7,000","$4,000",2010
"95","Herbalife International","UK/Herbalife Ltd","$63,080","$35,000","$28,080",2010
"96","Hill & Knowlton (WPP Group)","UK/WPP Group","$1,250","$1,000","$250",2010
"97","Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$172,000","$98,500","$71,000",2010
"98","Holcim US","Switzerland/Holcim Ltd","$33,500","$25,000","$8,500",2010
"99","Horizon Wind Energy","Portugal/EDP Renovaveis","$2,250","$1,250","$1,000",2010
"100","HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$339,000","$156,500","$182,500",2010
"101","HSBC North America/Florida (HSBC Holdings)","UK/HSBC Holdings","$0","$0","$0",2010
"102","Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$30,000","$26,500","$2,500",2010
"103","Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$11,250","$11,250","$0",2010
"104","Infineon Technologies","Germany/Infineon Technologies AG","$1,000","$1,000","$0",2010
"105","ING US (ING Group)","Netherlands/ING Group","$110,500","$68,000","$42,500",2010
"106","Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$66,900","$48,900","$18,000",2010
"107","Intergraph Corp","Sweden/Hexagon AB","$19,000","$7,000","$12,000",2010
"108","International Power America","UK/International Power","$19,000","$11,500","$4,000",2010
"109","International Securities Exchange","Germany/Deutsche Boerse","$49,500","$31,500","$18,000",2010
"110","Jackson National Life Insurance","UK/Prudential PLC","$122,774","$40,000","$82,774",2010
"111","JBS USA","Brazil/JBS SA","$162,050","$58,000","$104,050",2010
"112","John Hancock Life Insurance","Canada/Manulife Financial","$143,900","$96,500","$47,400",2010
"113","Kurtzman Carson Consultants","Australia/Computershare Limited","$0","$0","$0",2010
"114","LaFarge North America","France/Lafarge SA","$91,000","$37,500","$53,500",2010
"115","Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$5,580","$1,000","$4,580",2010
"116","Linde North America","Germany/Linde AG","$10,000","$8,000","$2,000",2010
"117","Louis Dreyfus Group (Louis Dreyfus SAS)","Netherlands/Louis Dreyfus SAS","$37,500","$12,000","$25,500",2010
"118","Lundbeck Inc","Denmark/H Lundbeck A/S","$0","$0","$0",2010
"119","LyondellBasell Industries","Netherlands/LyondellBasell Industries","$65,750","$27,000","$34,250",2010
"120","Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$136,750","$81,000","$54,750",2010
"121","Magna Holdings of America","Canada/Magna International","$2,250","$2,250","$0",2010
"122","Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$12,700","$7,200","$5,500",2010
"123","Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$40,000","$23,000","$17,000",2010
"124","MBDA Inc","UK/MBDA","$0","$0","$0",2010
"125","McDermott International (McDermott International)","Panama/McDermott International","$35,500","$3,500","$31,000",2010
"126","Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$104,500","$60,500","$41,000",2010
"127","Metallurg Vanadium Corp","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0",2010
"128","Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","-$2,500","$0","-$2,500",2010
"129","Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$28,000","$22,000","$6,000",2010
"130","Miller Brewing (SABMiller)","UK/SABMiller PLC","$0","$0","$0",2010
"131","MillerCoors LLC (SABMiller)","UK/SABMiller PLC","$205,500","$97,500","$107,000",2010
"132","National Grid USA (National Grid plc)","UK/National Grid plc","$141,350","$121,100","$18,250",2010
"133","National Grid USA (National Grid plc)","UK/National Grid plc","$500","$500","$0",2010
"134","Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$25,500","$4,500","$21,000",2010
"135","Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$19,500","$10,500","$8,000",2010
"136","Nomura Holding America","Japan/Nomura Holdings","$0","$0","$0",2010
"137","Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$339,750","$163,250","$174,000",2010
"138","Novo Nordisk","Denmark/Novo Nordisk A/S","$170,818","$102,318","$67,500",2010
"139","Oldcastle Materials","Ireland/CRH PLC","$301,000","$165,500","$134,500",2010
"140","Parsons Brinckerhoff","UK/Balfour Beatty","$162,618","$127,718","$34,900",2010
"141","PBS&J Inc","UK/WS Atkins PLC","$11,750","$9,100","$250",2010
"142","Pernod Ricard USA","France/Pernod Ricard SA","$21,500","$12,000","$9,500",2010
"143","Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$3,350","$1,500","$250",2010
"144","Pharmavite LLC","Japan/Otsuka Pharmaceutical","$47,000","$23,000","$22,000",2010
"145","Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$118,200","$38,250","$76,200",2010
"146","Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","$0","$0","$0",2010
"147","PotashCorp","Canada/Potash Corporation of Saskatchewan","$54,000","$15,500","$38,500",2010
"148","Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$17,266","$11,766","$5,500",2010
"149","QBE Regional Insurance","Australia/QBE Insurance Group","$0","$0","$0",2010
"150","QinetiQ North America (Qinetiq Group)","UK/QinetiQ Group","$22,000","$10,500","$11,500",2010
"151","RBC Centura Banks (Royal Bank of Canada)","Canada/Royal Bank of Canada","$1,250","$1,000","$250",2010
"152","Reebok International","Germany/adidas AG","$4,500","$4,500","$0",2010
"153","Reed Elsevier Inc","UK/Reed Elsevier Group","$97,300","$60,500","$36,800",2010
"154","Renewable Energy Systems Americas","UK/Renewable Energy Systems","$27,750","$22,500","$3,250",2010
"155","Renre North America Inc","UK/RenaissanceRe Holdings","$0","$0","$0",2010
"156","Research In Motion","Canada/Research in Motion","$16,000","$8,000","$8,000",2010
"157","Rio Tinto America","UK/Rio Tinto Group","$71,000","$36,500","$30,500",2010
"158","Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$353,800","$176,800","$172,000",2010
"159","Sanofi-Aventis US (Sanofi-Aventis)","France/Sanofi-Aventis","$87,000","$43,500","$43,500",2010
"160","Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$44,500","$19,750","$24,750",2010
"161","Santander Bank (Banco Santander)","Spain/Banco Santander","$9,500","$9,500","$0",2010
"162","SAP America","Germany/SAP AG","$46,500","$31,000","$15,500",2010
"163","Schaeffler Group USA","Germany/Schaeffler Group","$3,000","$2,000","$1,000",2010
"164","Securitas Security Services USA","Sweden/Securitas AB","$10,500","$0","$10,500",2010
"165","Serco Inc","UK/Serco Group","$86,900","$41,000","$45,900",2010
"166","SES Americom (SES SA)","Luxembourg/SES SA","$3,000","$3,000","$0",2010
"167","Severstal Warren","Russia/OAO Severstal","$0","$0","$0",2010
"168","Shell Oil","Netherlands/Royal Dutch Shell","$0","$0","$0",2010
"169","Shire Pharmaceuticals","UK/Shire Plc","$1,500","$1,000","$500",2010
"170","Siemens Corp","Germany/Siemens AG","$302,000","$171,000","$128,000",2010
"171","Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$13,500","$13,500","$0",2010
"172","Smith & Nephew","UK/Smith & Nephew Plc","$0","$0","$0",2010
"173","Smiths Detection","UK/Smiths Group PLC","$10,800","$7,800","$1,000",2010
"174","Sodexo Inc","France/Sodexo","$49,500","$41,000","$8,500",2010
"175","Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$191,900","$111,400","$79,500",2010
"176","Space Systems/Loral","UK/Loral Space & Communications","$6,900","$6,900","$0",2010
"177","Spirit Aerosystems (Onex Corp)","Canada/Onex Corp","$28,400","$5,000","$23,400",2010
"178","Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$19,900","$13,900","$6,000",2010
"179","Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$32,500","$29,500","$3,000",2010
"180","Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$71,500","$32,500","$39,000",2010
"181","Swiss Re America","Switzerland/Swiss Reinsurance","$20,200","$12,400","$7,800",2010
"182","Syngenta Corp","Switzerland/Syngenta AG","$249,000","$145,500","$103,500",2010
"183","T-Mobile USA","Germany/Deutsche Telekom AG","$398,150","$220,400","$177,750",2010
"184","Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$17,000","$7,000","$10,000",2010
"185","Talecris Biotherapeutics","Spain/Grifols SA","$50,000","$25,000","$25,000",2010
"186","Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$28,950","$11,500","$17,450",2010
"187","Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$96,700","$56,200","$40,500",2010
"188","Timex Group USA","Netherlands/Timex Group","$0","$0","$0",2010
"189","Tyco International","Ireland/Tyco International","$263,000","$134,000","$129,000",2010
"190","UBS Americas","Switzerland/UBS AG","$469,500","$258,500","$206,000",2010
"191","Ultra Electronics Prologic","UK/Ultra Electronics","$33,450","$20,000","$12,950",2010
"192","UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0",2010
"193","United Water","France/SUEZ Environnement","$15,100","$10,100","$5,000",2010
"194","Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$145,300","$82,800","$61,500",2010
"195","VT Halter Marine","Singapore/ST Engineering","$4,000","$2,500","$1,000",2010
"196","Weatherford US","UK/Weatherford International","$11,100","$2,900","$8,200",2010
"197","Westfield Corp","Australia/Westfield Group of Australia","$15,126","$15,126","$0",2010
"198","Westinghouse Electric","Japan/Toshiba Corp","$35,000","$18,500","$16,500",2010
"199","Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$100,000","$62,500","$36,500",2010
"200","Willis North America","UK/Willis Group","$7,500","$4,500","$3,000",2010
"201","XL America","Ireland/XL Group PLC","$1,500","$1,500","$0",2010
"202","Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$168,000","$78,000","$90,000",2010
