"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Seven & I Holdings","$0","$0","$0",2010
"2","ABB Group","Switzerland/Asea Brown Boveri","$17,000","$7,500","$9,000",2010
"3","Accenture (Accenture)","Ireland/Accenture plc","$337,400","$193,000","$143,400",2010
"4","Accenture (Accenture)","Ireland/Accenture plc","$0","$0","$0",2010
"5","ACE INA","Switzerland/ACE Ltd","$240,500","$129,500","$111,000",2010
"6","AEGON USA","Netherlands/Aegon NV","$186,000","$106,500","$79,500",2010
"7","Agrium US","Canada/Agrium Inc","$2,400","$0","$0",2010
"8","Air Liquide America","France/L'Air Liquide SA","$24,950","$18,200","$4,250",2010
"9","Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$0","$0","$0",2010
"10","Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$21,000","$15,500","$5,500",2010
"11","Alcon Laboratories (Novartis AG)","Switzerland/Novartis","$29,455","$8,455","$21,000",2010
"12","Allianz of America (Allianz)","Germany/Allianz AG Holding","$84,850","$37,850","$47,000",2010
"13","American Medical Response (Onex Corp)","Canada/Onex Corp","$44,200","$38,200","$6,000",2010
"14","Anheuser-Busch","Belgium/Anheuser-Busch InBev","$854,500","$454,000","$399,500",2010
"15","APL Ltd","Singapore/Neptune Orient Lines Ltd","$62,500","$35,000","$25,000",2010
"16","Arcadis US","Netherlands/Arcadis NV","$237,750","$136,250","$97,500",2010
"17","ArcelorMittal USA","Luxembourg/ArcelorMittal","$60,500","$42,500","$18,000",2010
"18","Arch Capital Group (US)","UK/Arch Capital Group","$12,800","$9,300","$3,500",2010
"19","AREVA Inc","France/Areva Group","$99,900","$62,400","$34,500",2010
"20","Arkema Inc","France/Arkema","$14,500","$8,500","$6,000",2010
"21","Astellas US","Japan/Astellas Pharma","$93,500","$56,000","$37,500",2010
"22","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$703,500","$368,000","$328,500",2010
"23","Atlantic Marine (BAE Systems)","UK/BAE Systems","$20,500","$10,000","$10,500",2010
"24","Aviva USA","UK/Aviva PLC","$0","$0","$0",2010
"25","AXA Equitable Life Insurance (AXA)","France/AXA","$285,500","$171,500","$114,000",2010
"26","AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$3,000","$3,000","$0",2010
"27","Bacardi USA","UK/Bacardi Ltd","$20,025","$11,025","$8,000",2010
"28","BAE Systems (BAE Systems)","UK/BAE Systems","$745,000","$418,500","$326,000",2010
